[2025-08-31T02:05:41.928Z] [INFO] [T+0m] 🚀 Starting S2 — Unkillable Harness (2 Hours, Zero-Leak Cert)
[2025-08-31T02:05:41.931Z] [INFO] [T+0m] 📝 Logging to: s2-logs/s2-harness-2025-08-31T02-05-41-925Z.log
[2025-08-31T02:05:41.932Z] [INFO] [T+0m] 🔧 Setting up workspace plan...
[2025-08-31T02:05:41.957Z] [INFO] [T+0m] ✅ Workspace plan set to pro
[2025-08-31T02:05:41.957Z] [INFO] [T+0m] 🏃 Starting W1: Realistic Runs
[2025-08-31T02:05:41.957Z] [INFO] [T+0m] 🔄 Starting W2: SSE Churn
[2025-08-31T02:05:41.957Z] [INFO] [T+0m] 📦 Starting W3: Registry Pulse
[2025-08-31T02:05:41.957Z] [INFO] [T+0m] 🛡️ Starting W4: Safety Probes
[2025-08-31T02:05:41.958Z] [INFO] [T+0m] 🔒 Starting W5: Privacy Slice
[2025-08-31T02:05:41.958Z] [INFO] [T+0m] 🌪️ Starting W6: Light Chaos
[2025-08-31T02:05:41.958Z] [INFO] [T+0m] 📊 Starting Availability Monitor
[2025-08-31T02:05:41.958Z] [INFO] [T+0m] 📈 Starting Metrics Capture
[2025-08-31T02:05:49.998Z] [ERROR] [T+0m] 🔌 SSE sse-18 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:50.076Z] [ERROR] [T+0m] 🔌 SSE sse-15 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:50.151Z] [ERROR] [T+0m] 🔌 SSE sse-6 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:50.182Z] [ERROR] [T+0m] 🔌 SSE sse-16 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:50.229Z] [ERROR] [T+0m] 🔌 SSE sse-5 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:50.336Z] [ERROR] [T+0m] 🔌 SSE sse-2 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:51.002Z] [ERROR] [T+0m] 🔌 SSE sse-12 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:51.232Z] [ERROR] [T+0m] 🔌 SSE sse-11 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:51.354Z] [ERROR] [T+0m] 🔌 SSE sse-7 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:51.400Z] [ERROR] [T+0m] 🔌 SSE sse-4 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:51.431Z] [ERROR] [T+0m] 🔌 SSE sse-13 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:51.524Z] [ERROR] [T+0m] 🔌 SSE sse-8 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:51.585Z] [ERROR] [T+0m] 🔌 SSE sse-19 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:51.709Z] [ERROR] [T+0m] 🔌 SSE sse-10 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:51.724Z] [ERROR] [T+0m] 🔌 SSE sse-3 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:51.833Z] [ERROR] [T+0m] 🔌 SSE sse-17 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:51.926Z] [ERROR] [T+0m] 🔌 SSE sse-9 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:52.065Z] [ERROR] [T+0m] 🔌 SSE sse-18 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:52.158Z] [ERROR] [T+0m] 🔌 SSE sse-0 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:52.175Z] [ERROR] [T+0m] 🔌 SSE sse-15 request error: 404 - {"error":"Run not found"}
[2025-08-31T02:05:52.297Z] [ERROR] [T+0m] 🔌 SSE sse-16 request error: 404 - {"error":"Run not found"}
