[2025-08-30T13:03:22.258Z] [ERROR] [T+1m] SSE sse-17 request error: 
[2025-08-30T13:03:22.258Z] [ERROR] [T+1m] SSE sse-16 request error: 
[2025-08-30T13:03:22.258Z] [ERROR] [T+1m] SSE sse-18 request error: 
[2025-08-30T13:03:22.259Z] [ERROR] [T+1m] SSE sse-19 request error: 
[2025-08-30T13:03:28.366Z] [ERROR] [T+1m] Run dab720d9-f5ca-4099-9d58-472d466da69a failed: 
[2025-08-30T13:03:48.378Z] [ERROR] [T+2m] Run 5a1fdf51-cfaa-4e35-bfbf-76e2840c72e8 failed: 
[2025-08-30T13:03:48.378Z] [ERROR] [T+2m] ❌ Availability check error: 
[2025-08-30T13:04:08.386Z] [ERROR] [T+2m] Run a31fbabf-f8d1-4aee-8414-0cbe461e17bc failed: 
[2025-08-30T13:04:18.384Z] [ERROR] [T+2m] ❌ Availability check error: 
[2025-08-30T13:04:28.392Z] [ERROR] [T+2m] Run a0249130-dda5-48a2-af0c-8dc4fdf328b8 failed: 
[2025-08-30T13:04:48.386Z] [ERROR] [T+3m] ❌ Availability check error: 
[2025-08-30T13:04:48.402Z] [ERROR] [T+3m] Run ab3049bc-4441-4d4d-9b1a-241a60727cf5 failed: 
[2025-08-30T13:04:57.575Z] [ERROR] [T+3m] SSE sse-0 request error: 
[2025-08-30T13:04:57.575Z] [ERROR] [T+3m] SSE sse-2 request error: 
[2025-08-30T13:04:57.575Z] [ERROR] [T+3m] SSE sse-1 request error: 
[2025-08-30T13:04:57.575Z] [ERROR] [T+3m] SSE sse-4 request error: 
[2025-08-30T13:04:57.575Z] [ERROR] [T+3m] SSE sse-3 request error: 
[2025-08-30T13:04:57.576Z] [ERROR] [T+3m] SSE sse-5 request error: 
[2025-08-30T13:04:57.576Z] [ERROR] [T+3m] SSE sse-8 request error: 
[2025-08-30T13:04:57.576Z] [ERROR] [T+3m] SSE sse-6 request error: 
[2025-08-30T13:04:57.576Z] [ERROR] [T+3m] SSE sse-7 request error: 
[2025-08-30T13:04:57.577Z] [ERROR] [T+3m] SSE sse-9 request error: 
[2025-08-30T13:04:57.577Z] [ERROR] [T+3m] SSE sse-10 request error: 
[2025-08-30T13:04:57.577Z] [ERROR] [T+3m] SSE sse-12 request error: 
[2025-08-30T13:04:57.577Z] [ERROR] [T+3m] SSE sse-11 request error: 
[2025-08-30T13:04:57.577Z] [ERROR] [T+3m] SSE sse-13 request error: 
[2025-08-30T13:04:57.578Z] [ERROR] [T+3m] SSE sse-14 request error: 
[2025-08-30T13:04:57.578Z] [ERROR] [T+3m] SSE sse-15 request error: 
[2025-08-30T13:04:57.578Z] [ERROR] [T+3m] SSE sse-17 request error: 
[2025-08-30T13:04:57.579Z] [ERROR] [T+3m] SSE sse-18 request error: 
[2025-08-30T13:04:57.579Z] [ERROR] [T+3m] SSE sse-16 request error: 
[2025-08-30T13:04:57.579Z] [ERROR] [T+3m] SSE sse-19 request error: 
[2025-08-30T13:05:08.413Z] [ERROR] [T+3m] Run 60ca7e23-39c6-4a2e-ba4f-3b1e1b5a4f19 failed: 
[2025-08-30T13:05:18.391Z] [ERROR] [T+3m] ❌ Availability check error: 
[2025-08-30T13:05:28.424Z] [ERROR] [T+3m] Run ef349343-e610-4d60-9507-6f2e33f825ea failed: 
[2025-08-30T13:05:48.400Z] [ERROR] [T+4m] ❌ Availability check error: 
[2025-08-30T13:05:48.431Z] [ERROR] [T+4m] Run 4e6defc4-04dc-4dc4-ab51-53c9f723d2d8 failed: 
[2025-08-30T13:06:08.443Z] [ERROR] [T+4m] Run 3e71c3b3-c9e8-4dba-981d-762adc19299a failed: 
[2025-08-30T13:06:18.408Z] [ERROR] [T+4m] ❌ Availability check error: 
[2025-08-30T13:06:28.448Z] [ERROR] [T+4m] Run e0e7eb04-a5cc-4893-bfc8-3c4d8afebf4a failed: 
[2025-08-30T13:06:48.336Z] [HEARTBEAT] [T+5m] 💓 S2 alive — t=5m, active SSE=20, runs started=14
[2025-08-30T13:06:48.351Z] [INFO] [T+5m] 🔄 SSE churn: closing 4/20 clients
[2025-08-30T13:06:48.413Z] [ERROR] [T+5m] ❌ Availability check error: 
