[2025-08-30T13:10:18.349Z] [ERROR] [T+3m] ❌ Availability check error: 
[2025-08-30T13:10:18.365Z] [ERROR] [T+3m] Run 0e5b6af1-de66-47da-b4a8-983bbdc25f2f failed: 
[2025-08-30T13:10:38.366Z] [ERROR] [T+3m] Run 634afc44-52da-4c9c-8d92-5f95853e6fa9 failed: 
[2025-08-30T13:10:48.355Z] [ERROR] [T+3m] ❌ Availability check error: 
[2025-08-30T13:10:58.366Z] [ERROR] [T+3m] Run d01fd386-55dd-4314-a501-c5df72e5ee99 failed: 
[2025-08-30T13:11:02.790Z] [ERROR] [T+3m] SSE sse-1 request error: 
[2025-08-30T13:11:02.790Z] [ERROR] [T+3m] SSE sse-3 request error: 
[2025-08-30T13:11:02.791Z] [ERROR] [T+3m] SSE sse-0 request error: 
[2025-08-30T13:11:02.791Z] [ERROR] [T+3m] SSE sse-2 request error: 
[2025-08-30T13:11:02.791Z] [ERROR] [T+3m] SSE sse-4 request error: 
[2025-08-30T13:11:02.791Z] [ERROR] [T+3m] SSE sse-5 request error: 
[2025-08-30T13:11:02.791Z] [ERROR] [T+3m] SSE sse-7 request error: 
[2025-08-30T13:11:02.791Z] [ERROR] [T+3m] SSE sse-6 request error: 
[2025-08-30T13:11:02.792Z] [ERROR] [T+3m] SSE sse-8 request error: 
[2025-08-30T13:11:02.793Z] [ERROR] [T+3m] SSE sse-9 request error: 
[2025-08-30T13:11:02.793Z] [ERROR] [T+3m] SSE sse-11 request error: 
[2025-08-30T13:11:02.793Z] [ERROR] [T+3m] SSE sse-10 request error: 
[2025-08-30T13:11:02.793Z] [ERROR] [T+3m] SSE sse-12 request error: 
[2025-08-30T13:11:02.793Z] [ERROR] [T+3m] SSE sse-13 request error: 
[2025-08-30T13:11:02.794Z] [ERROR] [T+3m] SSE sse-14 request error: 
[2025-08-30T13:11:02.794Z] [ERROR] [T+3m] SSE sse-15 request error: 
[2025-08-30T13:11:02.794Z] [ERROR] [T+3m] SSE sse-16 request error: 
[2025-08-30T13:11:02.794Z] [ERROR] [T+3m] SSE sse-17 request error: 
[2025-08-30T13:11:02.795Z] [ERROR] [T+3m] SSE sse-18 request error: 
[2025-08-30T13:11:02.795Z] [ERROR] [T+3m] SSE sse-19 request error: 
[2025-08-30T13:11:18.367Z] [ERROR] [T+4m] ❌ Availability check error: 
[2025-08-30T13:11:18.367Z] [ERROR] [T+4m] Run 83cd4200-7738-404d-a5b6-13b395b265f7 failed: 
[2025-08-30T13:11:38.369Z] [ERROR] [T+4m] Run c6b9ace6-31bf-474a-b235-ac3aafcd16dd failed: 
[2025-08-30T13:11:48.366Z] [ERROR] [T+4m] ❌ Availability check error: 
[2025-08-30T13:11:58.372Z] [ERROR] [T+4m] Run bbe816fa-c1ce-40be-9096-c9b5896f6434 failed: 
[2025-08-30T13:12:18.294Z] [HEARTBEAT] [T+5m] 💓 S2-SMOKE alive — t=5m, active SSE=20, runs started=14
[2025-08-30T13:12:18.309Z] [INFO] [T+5m] 🔄 SSE churn: closing 4/20 clients
[2025-08-30T13:12:18.312Z] [ERROR] [T+5m] Registry pulse error: 
[2025-08-30T13:12:18.312Z] [ERROR] [T+5m] Safety probe error: 
[2025-08-30T13:12:18.312Z] [ERROR] [T+5m] Privacy slice error: 
[2025-08-30T13:12:18.373Z] [ERROR] [T+5m] ❌ Availability check error: 
[2025-08-30T13:12:18.373Z] [ERROR] [T+5m] Run d99e3ccc-67eb-4024-982d-bd25cb52fe1d failed: 
[2025-08-30T13:12:19.317Z] [INFO] [T+5m] 🔄 SSE churn: replaced 4 clients
[2025-08-30T13:12:19.318Z] [ERROR] [T+5m] SSE sse-replace-1756559539316-0 request error: 
[2025-08-30T13:12:19.318Z] [ERROR] [T+5m] SSE sse-replace-1756559539316-1 request error: 
[2025-08-30T13:12:19.319Z] [ERROR] [T+5m] SSE sse-replace-1756559539317-2 request error: 
[2025-08-30T13:12:19.319Z] [ERROR] [T+5m] SSE sse-replace-1756559539317-3 request error: 
[2025-08-30T13:12:21.088Z] [ERROR] [T+5m] SSE sse-replace-1756559539316-0 request error: 
[2025-08-30T13:12:21.088Z] [ERROR] [T+5m] SSE sse-replace-1756559539317-2 request error: 
[2025-08-30T13:12:21.089Z] [ERROR] [T+5m] SSE sse-replace-1756559539316-1 request error: 
[2025-08-30T13:12:21.089Z] [ERROR] [T+5m] SSE sse-replace-1756559539317-3 request error: 
[2025-08-30T13:12:24.638Z] [ERROR] [T+5m] SSE sse-replace-1756559539316-0 request error: 
[2025-08-30T13:12:24.638Z] [ERROR] [T+5m] SSE sse-replace-1756559539317-2 request error: 
[2025-08-30T13:12:24.639Z] [ERROR] [T+5m] SSE sse-replace-1756559539316-1 request error: 
[2025-08-30T13:12:24.639Z] [ERROR] [T+5m] SSE sse-replace-1756559539317-3 request error: 
[2025-08-30T13:12:31.721Z] [ERROR] [T+5m] SSE sse-replace-1756559539316-0 request error: 
[2025-08-30T13:12:31.721Z] [ERROR] [T+5m] SSE sse-replace-1756559539317-2 request error: 
[2025-08-30T13:12:31.722Z] [ERROR] [T+5m] SSE sse-replace-1756559539316-1 request error: 
[2025-08-30T13:12:31.722Z] [ERROR] [T+5m] SSE sse-replace-1756559539317-3 request error: 
[2025-08-30T13:12:38.376Z] [ERROR] [T+5m] Run 434d066a-c627-4d69-b5c8-323a5feb3491 failed: 
[2025-08-30T13:12:45.873Z] [ERROR] [T+5m] SSE sse-replace-1756559539316-0 request error: 
[2025-08-30T13:12:45.873Z] [ERROR] [T+5m] SSE sse-replace-1756559539316-1 request error: 
[2025-08-30T13:12:45.874Z] [ERROR] [T+5m] SSE sse-replace-1756559539317-2 request error: 
[2025-08-30T13:12:45.874Z] [ERROR] [T+5m] SSE sse-replace-1756559539317-3 request error: 
[2025-08-30T13:12:48.387Z] [ERROR] [T+5m] ❌ Availability check error: 
[2025-08-30T13:12:58.385Z] [ERROR] [T+5m] Run 4e57fcdc-457a-4c69-aa9a-bf3af4647f07 failed: 
[2025-08-30T13:13:14.153Z] [ERROR] [T+5m] SSE sse-replace-1756559539316-0 request error: 
[2025-08-30T13:13:14.154Z] [ERROR] [T+5m] SSE sse-replace-1756559539316-1 request error: 
[2025-08-30T13:13:14.154Z] [ERROR] [T+5m] SSE sse-replace-1756559539317-2 request error: 
[2025-08-30T13:13:14.154Z] [ERROR] [T+5m] SSE sse-replace-1756559539317-3 request error: 
[2025-08-30T13:13:18.393Z] [ERROR] [T+6m] ❌ Availability check error: 
[2025-08-30T13:13:18.393Z] [ERROR] [T+6m] Run 3ae91161-1b3e-4fcf-bbd7-ec76c2d0ab8d failed: 
[2025-08-30T13:13:38.406Z] [ERROR] [T+6m] Run d613f2ed-aecb-485e-9ad4-697b58e84cca failed: 
[2025-08-30T13:13:48.402Z] [ERROR] [T+6m] ❌ Availability check error: 
[2025-08-30T13:13:58.407Z] [ERROR] [T+6m] Run 3b4d310d-8084-4c30-9318-65781faebdc4 failed: 
[2025-08-30T13:14:10.693Z] [ERROR] [T+6m] SSE sse-replace-1756559539316-0 request error: 
[2025-08-30T13:14:10.693Z] [ERROR] [T+6m] SSE sse-replace-1756559539316-1 request error: 
[2025-08-30T13:14:10.693Z] [ERROR] [T+6m] SSE sse-replace-1756559539317-2 request error: 
[2025-08-30T13:14:10.694Z] [ERROR] [T+6m] SSE sse-replace-1756559539317-3 request error: 
[2025-08-30T13:14:18.405Z] [ERROR] [T+7m] ❌ Availability check error: 
[2025-08-30T13:14:18.420Z] [ERROR] [T+7m] Run 87c5ec9c-16ea-44e4-b6ca-af772001080b failed: 
[2025-08-30T13:14:38.430Z] [ERROR] [T+7m] Run 53963fa7-6c0f-4ef8-8b4e-aedb46d1a967 failed: 
[2025-08-30T13:14:48.414Z] [ERROR] [T+7m] ❌ Availability check error: 
[2025-08-30T13:14:48.947Z] [ERROR] [T+7m] SSE sse-1 request error: 
